string,macro,file,style_context,sample_output,locale_or_inline
"None",tex-statute,texas-greenbook-15th-edition.csl,Note/Bibliography,"Tex. Tax Code Ann. § 26.06(a).","Section symbol supplied by locale; no inline publisher/status string."
"None",tex-code-section,texas-greenbook-15th-edition.csl,Note/Bibliography,"Tex. Rev. Civ. Stat. Ann. art. 5415e-4, § 2(a).","Relies on locale labels for §/art.; no hard-coded publication note."
"None",tex-admin-code,texas-greenbook-15th-edition.csl,Note/Bibliography,"4 Tex. Admin. Code § 9.12 (2013) (Tex. Dep’t of Agric., Seed Sampling Procedures).","Year and agency pulled from metadata; no inline publication string beyond punctuation."
"None",tex-admin-core,texas-greenbook-15th-edition.csl,Note/Bibliography,"39 Tex. Reg. 573, 574 (2014) (to be codified at 22 Tex. Admin. Code § 367.14) (Tex. State Bd. Plumbing Exam’rs, Contested Case; State Office of Admin. Hearings).","Session parenthetical comes from metadata; macro uses locale § symbol only."
"None",tex-statute,texas-greenbook-15th-toa.csl,TOA (ungrouped),"Tex. Tax Code Ann. § 26.06(a).","Shared macro via include; no inline publication/status strings."
"None",tex-code-section,texas-greenbook-15th-toa.csl,TOA (ungrouped),"Tex. Rev. Civ. Stat. Ann. art. 5415e-4, § 2(a).","Matches edition macro; defers to locale symbols."
"None",tac-core,texas-greenbook-15th-toa.csl,TOA (ungrouped),"4 Tex. Admin. Code § 9.12 (2013) (Tex. Dep’t of Agric., Seed Sampling Procedures).","Inline parentheses only; publication text supplied by metadata fields."
"ch. ",session-law,texas-greenbook-15th-edition.csl,Note/Bibliography,"Act of May 27, 2005, 79th Leg., R.S., ch. 484, § 2, sec. 153.433, 2005 Tex. Gen. Laws 1345.","Inline prefix; section symbol via locale term."
"ch. ",session-law,texas-greenbook-15th-toa.csl,TOA (ungrouped),"Act of May 30, 2005, 79th Leg., R.S., ch. 268, § 1.06, 2005 Tex. Gen. Laws 621.","Inline prefix; section symbol via locale term."
"ch. ",session-law,texas-greenbook-15th-toa-grouped.csl,TOA (grouped headings),"Act of May 30, 2005, 79th Leg., R.S., ch. 268, § 1.06, 2005 Tex. Gen. Laws 621.","Inline prefix; section symbol via locale term."
"ch. ",session-law,texas-greenbook-15th-toa-grouped-leaders.csl,TOA (grouped leaders),"Act of May 30, 2005, 79th Leg., R.S., ch. 268, § 1.06, 2005 Tex. Gen. Laws 621.","Inline prefix; section symbol via locale term."
"ch. ",session-law,texas-greenbook-15th-toa-leaders.csl,TOA (leaders),"Act of May 30, 2005, 79th Leg., R.S., ch. 268, § 1.06, 2005 Tex. Gen. Laws 621.","Inline prefix; section symbol via locale term."
